entity_id,region_id,city
,278,Abrud
,278,Abrud Sat
,278,Achimetesti
,278,Acmariu
,278,Aiud
,278,Aiudul De Sus
,278,ALBA IULIA
,278,Albac
,278,Alecus
,278,Almasu De Mijloc
,278,Almasu Mare
,278,Ampoita
,278,Anghelesti
,278,Arieseni
,278,Aronesti
,278,Arti
,278,Asinip
,278,Avram Iancu 
,278,Avramesti (Arieseni)
,278,Baba
,278,Bacainti
,278,Badai
,278,Bagau
,278,Bai
,278,Baia De Aries
,278,Balcaciu
,278,Balesti
,278,Balesti-Catun
,278,Balmosesti
,278,Balomiru De Camp
,278,Barabant
,278,Barasti
,278,Barbesti
,278,Bardesti
,278,Barlesti (Mogos)
,278,Barlesti (Scarisoara)
,278,Barlesti-Catun
,278,Barsana
,278,Barzan
,278,Barzogani
,278,Bazesti
,278,Beldiu
,278,Benic
,278,Berghin
,278,Beta
,278,Bidigesti
,278,Biharia
,278,Biia
,278,Bilanesti
,278,Bisericani
,278,Bistra
,278,Blaj
,278,Blandiana
,278,Blidesti
,278,Bobaresti (Sohodol)
,278,Bobaresti (Vidra)
,278,Bocesti
,278,Bocsitura
,278,Bodesti
,278,Bodresti
,278,Bogdanesti (Vidra)
,278,Boldesti
,278,Bolovanesti
,278,Boncesti
,278,Bordestii Poieni
,278,Borlesti
,278,Botani
,278,Botesti (Campeni)
,278,Botesti (Scarisoara)
,278,Boz
,278,Bradeana
,278,Bradet
,278,Brazesti
,278,Bubesti
,278,Bucerdea Granoasa
,278,Bucerdea Vinoasa
,278,Bucium
,278,Bucium-Sat
,278,Bucuru
,278,Budaiesti
,278,Budeni
,278,Bulbuc
,278,Buninginea
,278,Bunta
,278,Burzesti
,278,Burzonesti
,278,Butesti (Horea)
,278,Calene
,278,Calnic
,278,Calugaresti
,278,Campeni
,278,Campu Goblii
,278,Candesti
,278,Capalna
,278,Capalna De Jos
,278,Captalan
,278,Capu Dealului
,278,Capud
,278,Carasti
,278,Carpen
,278,Carpinis (Garbova)
,278,Carpinis (Rosia Montana)
,278,Cartulesti
,278,Casa De Piatra
,278,Casoaia
,278,Cenade
,278,Cerbu
,278,Cergau
,278,Cergau Mare
,278,Cergau Mic
,278,Certege
,278,Ceru Bacainti
,278,Cetatea De Balta
,278,Cetea
,278,Cheia
,278,Cheile Cibului
,278,Cheleteni
,278,Cib
,278,Cicard
,278,Cicau
,278,Cioara De Sus
,278,Ciocasu
,278,Cionesti
,278,Cistei
,278,Cisteiu De Mures
,278,Ciuculesti
,278,Ciugud
,278,Ciugudu De Jos
,278,Ciugudu De Sus
,278,Ciuguzel
,278,Ciuldesti
,278,Ciumbrud
,278,Ciuruleasa
,278,Coasta Hentii
,278,Coasta Vascului
,278,Cobles
,278,Cocesti
,278,Cocosesti
,278,Cojocani
,278,Coleseni
,278,Colibi
,278,Coltesti
,278,Copand
,278,Corna
,278,Cornu
,278,Coroiesti
,278,Cortesti
,278,Coslariu
,278,Coslariu Nou
,278,Costesti (Albac)
,278,Costesti (Poiana Vadului)
,278,Cotorasti
,278,Craciunelu De Jos
,278,Craciunelu De Sus
,278,Craiva
,278,Cretesti
,278,Cricau
,278,Criseni
,278,Cristesti
,278,Cucuta
,278,Cugir
,278,Culdesti
,278,Cunta
,278,Curaturi
,278,Curmatura
,278,Curpeni
,278,Cut
,278,Daia Romana
,278,Dambureni
,278,Dandut
,278,Darlesti
,278,Daroaia
,278,Deal
,278,Dealu Bajului
,278,Dealu Bistrii
,278,Dealu Capsei
,278,Dealu Caselor
,278,Dealu Crisului
,278,Dealu Dostatului
,278,Dealu Ferului
,278,Dealu Frumos (Vadu Motilor)
,278,Dealu Geoagiului
,278,Dealu Goiesti
,278,Dealu Lamasoi
,278,Dealu Muntelui
,278,Dealu Ordancusii
,278,Dealu Roatei
,278,Decea
,278,Deleni Obarsie
,278,Deoncesti
,278,Deve
,278,Dilimani
,278,Dobra
,278,Dobresti
,278,Dobrot
,278,Dogaresti
,278,Dolesti
,278,Doptau
,278,Dos
,278,Dostat
,278,Dosu Luncii
,278,Dosu Vasesti
,278,Dragoiesti Lunca
,278,Drambar
,278,Drasov
,278,Dric
,278,Duduieni
,278,Dumacesti
,278,Dumbrava (Ciugud)
,278,Dumbrava (Sasciori)
,278,Dumbrava (Unirea)
,278,Dumbrava (Zlatna)
,278,Dumbravita
,278,Dumesti
,278,Dumitra
,278,Dupa Deal (Lupsa)
,278,Dupa Deal (Ponor)
,278,Dupa Plese
,278,Durasti
,278,Faget
,278,Fagetu De Jos
,278,Fagetu de Sus
,278,Fantanele
,278,Farau
,278,Fata
,278,Fata Abrudului
,278,Fata Cristesei
,278,Fata Lapusului
,278,Fata Lazesti
,278,Fata Pietrii
,278,Feisa
,278,Fenes
,278,Feresti
,278,Fericet
,278,Feteni
,278,Ficaresti
,278,Flitesti
,278,Floresti (Bucium)
,278,Floresti (Campeni)
,278,Floresti (Ramet)
,278,Floresti (Scarisoara)
,278,Furduiesti (Campeni)
,278,Furduiesti (Sohodol)
,278,Gabud
